Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,CombinedPropertiesTest.TestWithNoRequestComputedProperty,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,CombinedPropertiesTest.TestWithNoRequestComputedProperty,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,MetadataSchemaPropertiesImpl.MetadataSchemaResourceVisitor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: metadata; metadataFieldResourceTypes; widget
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,MetadataSchemaPropertiesImpl.MetadataSchemaResourceVisitor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,AssetResolverImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,CombinedProperties.ComputedPropertyParameter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; parameters; cacheId
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,CombinedProperties.ComputedPropertyParameter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,ExternalRedirectRenditionDispatcherImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; assetResolver; mimeTypeService
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,AbstractRenditionDispatcherImplTest.TestRenditionDispatcher,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,AbstractRenditionDispatcherImplTest.TestRenditionDispatcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,InternalRedirectRenditionDispatcherImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; requestDispatcher; assetResolver; mimeTypeService
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,StaticRenditionDispatcherImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; requestDispatcher
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,InternalRedirectRenditionDispatcherImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractRenditionDispatcherImpl
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,ExternalRedirectRenditionDispatcherImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,ExternalRedirectRenditionDispatcherImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractRenditionDispatcherImpl
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,StaticRenditionDispatcherImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,StaticRenditionDispatcherImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractRenditionDispatcherImpl
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,StaticRenditionDispatcherImpl.PatternRenditionPicker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: pattern
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,StaticRenditionDispatcherImpl.PatternRenditionPicker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,AbstractRenditionDispatcherImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; OSGI_PROPERTY_VALUE_DELIMITER; QUERY_PARAM_SUGGESTED_EXTENSION
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,AssetDeliveryRenditionDispatcherImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,AssetDeliveryRenditionDispatcherImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; PLACEHOLDER_SIZE_IN_BYTES; ALLOWED_FORMATS; PN_PATH; PN_FORMAT; PN_SEONAME; DEFAULT_FORMAT; ACCEPTED_MIME_TYPES; cfg; mappings; requireAem; assetDelivery; modelFactory; expressionEvaluator; assetRenditions; mimeTypeService; assetRenditionTracker
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,AssetDeliveryRenditionDispatcherImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractRenditionDispatcherImpl
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl,AssetRenditionDispatchersImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl,AssetRenditionsImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; mimeTypeService; testAssetModel
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl,AssetRenditionServletTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; requestDispatcher; modelFactory
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl,AssetRenditionServlet,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; SERVLET_EXTENSION; assetRenditionDispatchers; modelFactory; servletHelper; allowedParameters
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl,AssetRenditionDispatchersImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl,AssetRenditionsImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRenditionParametersTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; testAssetModel
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRenditionTracker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRenditionDispatcher,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IMAGE; VIDEO
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRenditionDispatcher.Types,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: IMAGE; VIDEO
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRenditionDispatcher.Types,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRenditionDispatcher.Types,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IMAGE; VIDEO
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRenditionParameters,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; DOWNLOAD; CACHE_FILENAME; asset; renditionName; fileName; otherParameters; otherProperties
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,AssetRendition,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; UNAVAILABLE_ASSET_RENDITION; binaryUri; size; mimeType
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl,AssetRenditionDownloadResponseTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; stringWriter; baos
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl,AssetRenditionsDownloadServletTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; httpClientBuilderFactory; modelFactory; requestDispatcher; mimeTypeService
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl,AssetRenditionsZipperImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; modelFactory; requestDispatcher; httpClientBuilderFactory
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl,AssetRenditionDownloadRequestTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; resource
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl,AssetRenditionsZipperImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; DEFAULT_FILE_ATTACHMENT_NAME; NAME; BYTES_IN_MB; VAR_ASSET_NAME; VAR_ASSET_EXTENSION; VAR_RENDITION_NAME; VAR_RENDITION_EXTENSION; VAR_ASSET_FILE_NAME; VAR_ASSET_TITLE; PN_NO_CONTENT_FILE_NAME; PN_NO_CONTENT_MESSAGE; PN_FILE_NAME; ZIP_EXTENSION; DEFAULT_NO_CONTENT_FILE_NAME; DEFAULT_NO_CONTENT_MESSAGE; assetRenditionStreamer; mimeTypeService; cfg
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl,AssetRenditionDownloadRequest.WrappedRequestPathInfoWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl,AssetRenditionStreamerImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl,AssetRenditionStreamerImpl.StreamImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: outputStream; contentType
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl,AssetRenditionStreamerImpl.StreamImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
