Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_ExcludeAssetRenditionDispatchersViaOsgiConfig,Long Statement,The length of the statement "final Servlet servlet=ctx.registerInjectActivateService(new AssetRenditionsDataSource()`"sling.servlet.resourceTypes"`"asset-share-commons/data-sources/asset-renditions"`"sling.servlet.methods"`"GET"`"exclude.assetrenditiondispatcher.names"`"one");" is 248.,117
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_ExcludeAssetRenditionsViaOsgiConfig,Long Statement,The length of the statement "final Servlet servlet=ctx.registerInjectActivateService(new AssetRenditionsDataSource()`"sling.servlet.resourceTypes"`"asset-share-commons/data-sources/asset-renditions"`"sling.servlet.methods"`"GET"`"exclude.assetrendition.names"`"b");" is 236.,135
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_ExcludeAssetRenditionDispatchersViaProperty,Long Statement,The length of the statement "final Servlet servlet=ctx.registerInjectActivateService(new AssetRenditionsDataSource()`"sling.servlet.resourceTypes"`"asset-share-commons/data-sources/asset-renditions"`"sling.servlet.methods"`"GET");" is 201.,153
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_ExcludeAssetRenditionsViaProperty,Long Statement,The length of the statement "final Servlet servlet=ctx.registerInjectActivateService(new AssetRenditionsDataSource()`"sling.servlet.resourceTypes"`"asset-share-commons/data-sources/asset-renditions"`"sling.servlet.methods"`"GET");" is 201.,170
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_ServiceRanking,Long Statement,The length of the statement "final String[] expectedKeys=new String[]{"A (Three AssetRenditionDispatcher)"`"B (One AssetRenditionDispatcher)"`"C (Three AssetRenditionDispatcher)"`"D (Two AssetRenditionDispatcher)"};" is 186.,188
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_ServiceRanking,Long Statement,The length of the statement "final Servlet servlet=ctx.registerInjectActivateService(new AssetRenditionsDataSource()`"sling.servlet.resourceTypes"`"asset-share-commons/data-sources/asset-renditions"`"add.assetrenditiondispatcher.to.label"`true`"sling.servlet.methods"`"GET");" is 246.,188
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_ServiceRanking,Long Statement,The length of the statement "ctx.registerInjectActivateService(new StaticRenditionDispatcherImpl()`ImmutableMap.<String`Object>builder().put(Constants.SERVICE_RANKING`1000).put("label"`"Three AssetRenditionDispatcher").put("name"`"three").put("rendition.mappings"`new String[]{"a=preferred value for a"`"c=preferred value for c"}).build());" is 311.,188
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_ServiceRanking,Magic Number,The method contains a magic number: 1000,188
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_WithHiddenAssetRenditionDispatcher,Long Statement,The length of the statement "final Servlet servlet=ctx.registerInjectActivateService(new AssetRenditionsDataSource()`"sling.servlet.resourceTypes"`"asset-share-commons/data-sources/asset-renditions"`"sling.servlet.methods"`"GET");" is 201.,226
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_WithHiddenAssetRenditionDispatcher,Long Statement,The length of the statement "ctx.registerInjectActivateService(new StaticRenditionDispatcherImpl()`ImmutableMap.<String`Object>builder().put(Constants.SERVICE_RANKING`1000).put("label"`"Three AssetRenditionDispatcher").put("name"`"three").put("hidden"`true).put("rendition.mappings"`new String[]{"e=value"`"f=value"}).build());" is 298.,226
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_WithHiddenAssetRenditionDispatcher,Magic Number,The method contains a magic number: 1000,226
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_WithAllowedAssetRenditionDispatcherTypes,Long Statement,The length of the statement "final Servlet servlet=ctx.registerInjectActivateService(new AssetRenditionsDataSource()`"sling.servlet.resourceTypes"`"asset-share-commons/data-sources/asset-renditions"`"sling.servlet.methods"`"GET");" is 201.,255
