Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
asset-share-commons,com.adobe.aem.commons.assetshare.search.searchpredicates.impl,ExcludeExpiredAssetsImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.components.search.impl,StatisticsImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RESOURCE_TYPE
asset-share-commons,com.adobe.aem.commons.assetshare.components.search.impl,SearchConfigImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RESOURCE_TYPE
asset-share-commons,com.adobe.aem.commons.assetshare.components.actions.download.impl,DownloadImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PN_ASSET_RENDITIONS_GROUP_TITLE; PN_ARCHIVE_FILE_NAME_EXPRESSION; NN_ASSET_RENDITIONS; NN_ITEMS; DEFAULT_ARCHIVE_FILE_NAME_EXPRESSION
asset-share-commons,com.adobe.aem.commons.assetshare.components.actions.download.impl,DownloadImplTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
asset-share-commons,com.adobe.aem.commons.assetshare.components.actions.share.impl,EmailShareServiceImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SHARE_SERVICE_ACCEPTANCE_KEY; SIGNATURE
asset-share-commons,com.adobe.aem.commons.assetshare.workflow.assetkit.impl,AssetKitCreatorWorkflowProcess,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: WORKFLOW_ASSETS_KIT_PAGE_ID; WORKFLOW_ASSETS_KIT_PATH; WORKFLOW_TRACK_AND_UPDATE; WORKFLOW_PAGE_PATH_GENERATOR_ID
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.async.impl,ExpressionDownloadArchiveNamerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.async.impl,NamedRenditionDownloadTargetProcessor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TARGET_TYPE; PARAM_ASSET_PATH; PARAM_RENDITION_NAME; PARAM_ARCHIVE_NAME; PARAM_ARCHIVE_PATH; PARAM_DOWNLOAD_COMPONENT_PATH; PARAM_USER_ID
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.async.impl,AsyncAssetRenditionsDownloadServlet,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PN_BASE_ARCHIVE_NAME_EXPRESSION; PARAM_ARCHIVE_NAME; PARAM_RENDITION_BY_ASSET_FOLDER
